Source,CH1,CH2,
Second,Volt,Volt,
-0.00024714000,0.22660,0.20340,
-0.00024711998,0.22640,0.20280,
-0.00024709998,0.22660,0.20320,
-0.00024708000,0.22660,0.20280,
-0.00024706000,0.22660,0.20340,
-0.00024704000,0.22660,0.20300,
-0.00024702002,0.22660,0.20340,
-0.00024699998,0.22680,0.20300,
-0.00024698000,0.22680,0.20340,
-0.00024696000,0.22660,0.20280,
-0.00024694000,0.22680,0.20340,
-0.00024692002,0.22660,0.20280,
-0.00024689998,0.22660,0.20340,
-0.00024688000,0.22680,0.20280,
-0.00024686000,0.22660,0.20340,
-0.00024684000,0.22680,0.20280,
-0.00024682002,0.22640,0.20320,
-0.00024679998,0.22680,0.20260,
-0.00024678000,0.22700,0.20340,
-0.00024676000,0.22680,0.20300,
-0.00024674000,0.22680,0.20360,
-0.00024672002,0.22640,0.20280,
-0.00024669998,0.22660,0.20340,
-0.00024668000,0.22660,0.20280,
-0.00024666000,0.22660,0.20360,
-0.00024664000,0.22660,0.20300,
-0.00024662002,0.22640,0.20300,
-0.00024659998,0.22660,0.20260,
-0.00024657998,0.22660,0.20320,
-0.00024656000,0.22680,0.20300,
-0.00024654000,0.22700,0.20340,
-0.00024652002,0.22660,0.20280,
-0.00024649998,0.22680,0.20320,
-0.00024647998,0.22660,0.20300,
-0.00024646000,0.22660,0.20320,
-0.00024644000,0.22680,0.20260,
-0.00024642002,0.22640,0.20340,
-0.00024639998,0.22640,0.20280,
-0.00024637998,0.22680,0.20340,
-0.00024636000,0.22660,0.20300,
-0.00024634000,0.22680,0.20340,
-0.00024632000,0.22640,0.20280,
-0.00024630002,0.22640,0.20320,
-0.00024627998,0.22660,0.20280,
-0.00024626000,0.22660,0.20340,
-0.00024624000,0.22680,0.20300,
-0.00024622000,0.22660,0.20320,
-0.00024620002,0.22680,0.20280,
-0.00024617998,0.22660,0.20340,
-0.00024616000,0.22620,0.20260,
-0.00024614000,0.22660,0.20340,
-0.00024612000,0.22680,0.20260,
-0.00024610002,0.22760,0.20340,
-0.00024607998,0.22760,0.20300,
-0.00024606000,0.22800,0.20340,
-0.00024604000,0.22700,0.20300,
-0.00024602000,0.22620,0.20320,
-0.00024600002,0.22640,0.20280,
-0.00024597998,0.22620,0.20340,
-0.00024596000,0.22600,0.20280,
-0.00024594000,0.22640,0.20340,
-0.00024592000,0.22640,0.20260,
-0.00024590002,0.22620,0.20340,
-0.00024587998,0.22660,0.20260,
-0.00024585998,0.22680,0.20360,
-0.00024584000,0.22680,0.20260,
-0.00024582000,0.22660,0.20360,
-0.00024580002,0.22660,0.20280,
