Source,CH1,CH2,
Second,Volt,Volt,
-0.00108680000,0.31500,0.24640,
-0.00108670000,0.31520,0.24680,
-0.00108660000,0.31500,0.24600,
-0.00108650000,0.31500,0.24760,
-0.00108640000,0.31500,0.24680,
-0.00108630000,0.31500,0.24760,
-0.00108620000,0.31500,0.24640,
-0.00108610000,0.31560,0.24800,
-0.00108600000,0.31520,0.24640,
-0.00108590000,0.31500,0.24720,
-0.00108580000,0.31520,0.24600,
-0.00108570000,0.31480,0.24760,
-0.00108560000,0.31520,0.24600,
-0.00108550000,0.31500,0.24720,
-0.00108540000,0.31520,0.24640,
-0.00108530000,0.31520,0.24760,
-0.00108520000,0.31520,0.24680,
-0.00108510000,0.31500,0.24760,
-0.00108500000,0.31480,0.24600,
-0.00108490000,0.31500,0.24680,
-0.00108480000,0.31500,0.24640,
-0.00108470000,0.31520,0.24720,
-0.00108460000,0.31500,0.24640,
-0.00108450000,0.31520,0.24760,
-0.00108440000,0.31480,0.24680,
-0.00108430000,0.31520,0.24760,
-0.00108420000,0.31520,0.24640,
-0.00108410000,0.31500,0.24800,
-0.00108400000,0.31520,0.24640,
-0.00108390000,0.31520,0.24720,
-0.00108380000,0.31460,0.24640,
-0.00108370000,0.31520,0.24760,
-0.00108360000,0.31500,0.24640,
-0.00108350000,0.31520,0.24760,
-0.00108340000,0.31480,0.24600,
-0.00108330000,0.31500,0.24760,
-0.00108320000,0.31520,0.24640,
-0.00108310000,0.31480,0.24720,
-0.00108300000,0.31500,0.24640,
-0.00108290000,0.31540,0.24800,
-0.00108280000,0.31500,0.24600,
-0.00108270000,0.31520,0.24720,
-0.00108260000,0.31520,0.24640,
-0.00108250000,0.31460,0.24720,
-0.00108240000,0.31500,0.24640,
-0.00108230000,0.31500,0.24720,
-0.00108220000,0.31500,0.24640,
-0.00108210000,0.31480,0.24760,
-0.00108200000,0.31480,0.24600,
-0.00108190000,0.31540,0.24720,
-0.00108180000,0.31500,0.24640,
-0.00108170000,0.31500,0.24760,
-0.00108160000,0.31500,0.24640,
-0.00108150000,0.31500,0.24760,
